Name,Definition,Phase,Molecular Weight,Location,File Units,Convert units,Needed units,
CO,Carbon monoxide,Gas,28,CO,ppmV,x/1000000*28/28.97,kg/kg,
NO2,Nitrogen dioxide,Gas,46,NO2,ppbV,x/1000000000*46/28.97,kg/kg,
O3,Ozone,Gas,48,O3,ppmV,x/1000000*48/28.97,kg/kg,
SO2,Sulfur dioxide,Gas,64,SO2,ppbV,x/1000000000*64/28.97,kg/kg,
ALD2,Acetaldehyde,Gas,44,HAPs,ppbC,x/1000000000*44/28.97,kg/kg,
ALD2,Acetaldehyde,Gas,44,VOCs,ppbC,x/1000000000*44/28.97,kg/kg,
BENZENE,Benzene,Gas,78,HAPs,ppbC,x/1000000000*78/28.97,kg/kg,
BENZENE,Benzene,Gas,78,VOCs,ppbC,x/1000000000*78/28.97,kg/kg,
FORM,Formaldehyde,Gas,30,HAPs,ppbC,x/1000000000*30/28.97,kg/kg,
FORM,Formaldehyde,Gas,30,VOCs,ppbC,x/1000000000*30/28.97,kg/kg,
NO,Nitric oxide,Gas,30,NO_NOx_NOy,ppbC,x/1000000000*30/28.97,kg/kg,
ISOP,Isoprene,Gas,68,VOCs,ppbC,x/1000000000*68/28.97,kg/kg,
TOL,Toluene,Gas,92,VOCs,ppbC,x/1000000000*92/28.97,kg/kg,
