city,state,latitude,longitude,altitude,time_zone
Chicago,IL, 41.8781, -87.6298, 181.,US/Central
Cincinnati,OH, 39.1031, -84.5120, 147.,US/Eastern
Nashville,TN, 36.1627, -86.7816, 182.,US/Central
Birmingham,AL, 33.5207, -86.8025, 140.,US/Central
NewYork,NY, 40.7128, -74.0059, 10.,US/Eastern
Buffalo,NY, 42.8864, -78.8784, 183.,US/Eastern
Phoenix,AZ, 33.4484, -112.0740, 331.,US/Mountain
Denver,CO, 39.7392, -104.9903, 1647.,US/Mountain
Boston,MA, 42.3601, -71.0589, 43.,US/Eastern
Worcester,MA, 42.2626, -71.8023, 146.,US/Eastern
LosAngeles,CA, 34.0522, -118.2437, 93.,US/Pacific
Seattle,WA, 47.6062, -122.3321, 79.,US/Pacific
Miami,FL, 25.7617, -80.1918, 6.5,US/Eastern
Washington,DC, 38.9072, -77.0369, 62.5,US/Eastern
Atlanta,GA, 33.7490, -84.3880, 272.5,US/Eastern
Minneapolis,MN, 44.9778, -93.2650, 264.,US/Central
St.Louis,MO, 38.6270, -90.1994, 164.5,US/Central
Dallas,TX, 32.7767, -96.7970, 131.,US/Central
CorpusChristi,TX, 27.8006, -97.3964, 2.,US/Central
